timestamp,est_time,market,side,type,entry_price,exit_price,qty,pnl,exit_reason,filter_reason
2026-03-11 17:12:21,05:12:21 PM,"Bitcoin Up or Down - March 11, 5:10PM-5:15PM ET",Down,real,0.85,0.94,23.0,2.07,tp,
2026-03-11 17:19:55,05:19:55 PM,"Bitcoin Up or Down - March 11, 5:15PM-5:20PM ET",Up,real,0.71,1.0,28.0,8.12,resolved-win,
2026-03-11 17:24:47,05:24:47 PM,"Bitcoin Up or Down - March 11, 5:20PM-5:25PM ET",Up,real,0.75,0.94,26.0,4.94,tp,
2026-03-11 17:29:38,05:29:38 PM,"Bitcoin Up or Down - March 11, 5:25PM-5:30PM ET",Down,real,0.76,0.95,26.0,4.94,tp,
2026-03-11 17:33:54,05:33:54 PM,"Bitcoin Up or Down - March 11, 5:30PM-5:35PM ET",Up,real,0.9,0.94,22.0,0.88,tp,
2026-03-11 17:39:56,05:39:56 PM,"Bitcoin Up or Down - March 11, 5:35PM-5:40PM ET",Up,real,0.71,1.0,28.0,8.12,resolved-win,
2026-03-11 17:44:25,05:44:25 PM,"Bitcoin Up or Down - March 11, 5:40PM-5:45PM ET",Up,real,0.75,0.15,26.0,-15.6,sl,
2026-03-11 17:48:02,05:48:02 PM,"Bitcoin Up or Down - March 11, 5:45PM-5:50PM ET",Up,real,0.75,0.94,26.0,4.94,tp,
2026-03-11 17:53:20,05:53:20 PM,"Bitcoin Up or Down - March 11, 5:50PM-5:55PM ET",Up,real,0.87,0.94,22.0,1.54,tp,
2026-03-11 17:59:26,05:59:26 PM,"Bitcoin Up or Down - March 11, 5:55PM-6:00PM ET",Down,real,0.74,0.25,27.0,-13.23,sl,
2026-03-11 18:04:41,06:04:41 PM,"Bitcoin Up or Down - March 11, 6:00PM-6:05PM ET",Down,phantom-choppy,0.81,0.27,24,-12.96,phantom-lose,choppy
