timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-06 02:15:07,21:15:07,"Bitcoin Up or Down - March 5, 9:10PM-9:15PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71258.57,0.0,71311.22,52.65,0.0129,0.05,False,Down,sl,True,0.99,0.67
2026-03-06 02:18:33,21:18:33,"Bitcoin Up or Down - March 5, 9:15PM-9:20PM ET",buy,Down,0.71,0.96,7.04,tp,138.0,102.9,102.9,6746.0,129.0,1016.0,6.64,0.03,61,71311.22,71268.89,71190.9,120.32,0.016,0.05,False,Down,sl,False,0.56,0.96
2026-03-06 02:25:04,21:25:04,"Bitcoin Up or Down - March 5, 9:20PM-9:25PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71156.83,0.0,71204.99,48.16,0.0165,0.09,True,Down,tp,True,0.95,0.77
2026-03-06 02:29:12,21:29:12,"Bitcoin Up or Down - March 5, 9:25PM-9:30PM ET",buy,Up,0.78,0.98,5.13,tp,89.0,61.6,61.6,7970.0,2244.0,885.0,9.0,0.01,78,71204.99,71262.72,71295.11,90.12,0.0111,0.02,False,Down,tp,False,0.98,0.5
2026-03-06 02:34:00,21:34:00,"Bitcoin Up or Down - March 5, 9:30PM-9:35PM ET",buy,Down,0.86,0.97,2.56,tp,132.0,61.6,113.2,7146.0,1825.0,680.0,10.51,0.01,75,71355.71,71193.98,71182.94,172.77,0.0128,0.04,False,Up,tp,False,0.39,0.97
2026-03-06 02:40:01,21:40:01,"Bitcoin Up or Down - March 5, 9:35PM-9:40PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71181.99,0.0,71247.47,65.48,0.0126,0.03,False,Down,tp,True,0.98,0.7
2026-03-06 02:44:08,21:44:08,"Bitcoin Up or Down - March 5, 9:40PM-9:45PM ET",buy,Up,0.71,0.94,6.48,tp,93.0,113.3,206.0,7406.0,493.0,1727.0,4.29,0.01,68,71247.47,71272.85,71330.33,82.86,0.0132,0.04,False,Down,tp,False,0.94,0.55
2026-03-06 02:50:08,21:50:08,"Bitcoin Up or Down - March 5, 9:45PM-9:50PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71356.15,0.0,71284.71,71.44,0.0179,0.06,True,Up,tp,True,0.6,0.68
2026-03-06 02:53:55,21:53:55,"Bitcoin Up or Down - March 5, 9:50PM-9:55PM ET",buy,Down,0.71,0.94,6.48,tp,178.0,61.6,61.6,5278.0,209.0,2565.0,2.06,0.01,71,71284.71,71249.19,71238.13,46.58,0.0106,0.02,False,Up,tp,False,0.28,0.94
2026-03-06 03:00:05,22:00:05,"Bitcoin Up or Down - March 5, 9:55PM-10:00PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71192.85,0.0,71250.77,57.92,0.0148,0.07,True,Down,tp,True,0.68,0.65
